ImgPath,Class,Style
augmentation_Task3_2\beds\Midcentury\3291midcentury-panel-beds_aug_143.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5369midcentury-panel-beds_aug_126.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\2611midcentury-panel-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8635midcentury-sleigh-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5376midcentury-platform-beds_aug_110.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\4849midcentury-panel-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\7894midcentury-platform-beds_aug_144.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8672midcentury-sleigh-beds_aug_99.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8672midcentury-sleigh-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\7864midcentury-platform-beds_aug_133.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\2611midcentury-panel-beds_aug_90.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\4944midcentury-panel-beds_aug_132.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\3091midcentury-platform-beds_aug_138.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8639midcentury-panel-beds_aug_89.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\5654midcentury-platform-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\5185midcentury-platform-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\3854midcentury-platform-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\4956midcentury-platform-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8639midcentury-panel-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\4090midcentury-panel-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5199midcentury-kids-beds_aug_117.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5133midcentury-loft-beds_aug_100.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8671midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8706midcentury-platform-beds_aug_162.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8661midcentury-sleigh-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5185midcentury-platform-beds_aug_168.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\7883midcentury-platform-beds_aug_195.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\3854midcentury-platform-beds_aug_193.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\5366midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8664midcentury-daybeds_aug_150.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8720midcentury-platform-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8706midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\2643midcentury-platform-beds_aug_192.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\4290midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8720midcentury-platform-beds_aug_101.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8720midcentury-platform-beds_aug_175.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5027midcentury-panel-beds_aug_159.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8649midcentury-loft-beds_aug_155.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\4090midcentury-panel-beds_aug_160.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5030midcentury-platform-beds_aug_108.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8661midcentury-sleigh-beds_aug_111.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\3550midcentury-platform-beds_aug_91.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\7883midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\4441midcentury-platform-beds_aug_177.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5376midcentury-platform-beds_aug_184.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8636midcentury-panel-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\5030midcentury-platform-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\5376midcentury-platform-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\7894midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8636midcentury-panel-beds_aug_198.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8719midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8691midcentury-platform-beds_aug_136.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\4147midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\2910midcentury-canopy-beds_aug_92.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5751midcentury-panel-beds_aug_93.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5843midcentury-panel-beds_aug_196.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5867midcentury-panel-beds_aug_102.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\3280midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\2670midcentury-panel-beds_aug_78.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\3872midcentury-platform-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\5369midcentury-panel-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\4441midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\4954midcentury-panel-beds_aug_197.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\2910midcentury-canopy-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\4849midcentury-panel-beds_aug_105.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8639midcentury-panel-beds_aug_163.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\3280midcentury-platform-beds_aug_199.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\2631midcentury-panel-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8676midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5027midcentury-panel-beds_aug_85.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\4954midcentury-panel-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\5027midcentury-panel-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5469midcentury-panel-beds_aug_98.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\2643midcentury-platform-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8668midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\4290midcentury-platform-beds_aug_186.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\5843midcentury-panel-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\4305midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5771midcentury-panel-beds_aug_116.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5133midcentury-loft-beds_aug_174.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5843midcentury-panel-beds_aug_122.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\5769midcentury-panel-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\3091midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5654midcentury-platform-beds_aug_149.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\3550midcentury-platform-beds_aug_165.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\7701midcentury-platform-beds_aug_114.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8691midcentury-platform-beds.jpg,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8643midcentury-panel-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5875midcentury-platform-beds_aug_148.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\2611midcentury-panel-beds_aug_164.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\3280midcentury-platform-beds_aug_125.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\4290midcentury-platform-beds_aug_112.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5769midcentury-panel-beds_aug_97.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8664midcentury-daybeds_aug_76.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\7701midcentury-platform-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\2631midcentury-panel-beds_aug_141.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\3291midcentury-panel-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\3803midcentury-platform-beds_aug_134.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\5469midcentury-panel-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\4408midcentury-panel-beds_aug_104.png,beds,Midcentury
data/Furniture_Data\beds\Midcentury\8709midcentury-panel-beds.jpg,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\5875midcentury-platform-beds_aug_74.png,beds,Midcentury
augmentation_Task3_2\beds\Midcentury\8684midcentury-platform-beds_aug_115.png,beds,Midcentury
data/Furniture_Data\beds\Modern\4519modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4695modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4747modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2760modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4798modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4496modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3247modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4587modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4586modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4648modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4662modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4550modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4808modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4787modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2852modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4482modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4623modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4643modern-toddler-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2563modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4742modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3302modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4544modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4533modern-canopy-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2972modern-toddler-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4696modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4518modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4562modern-canopy-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4740modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4559modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4741modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4539modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4593modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4645modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4791modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3147modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4619modern-folding-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4541modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4754modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4806modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3963modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2787modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4537modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3001modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4688modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2527modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4498modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3177modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4462modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2712modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4731modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4633modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3380modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4634modern-toddler-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4715modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4651modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4622modern-folding-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4558modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4568modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4807modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4655modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3535modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2649modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4481modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4529modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4667modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4627modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4543modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4484modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3154modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4755modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4098modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2749modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4552modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4501modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4776modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4801modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2992modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4493modern-daybeds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4710modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4689modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3000modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4464modern-toddler-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4583modern-loft-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4800modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4647modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4694modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2738modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4497modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2998modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4650modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4577modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3184modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4666modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3051modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4738modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4597modern-loft-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4448modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3591modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2673modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4675modern-daybeds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4561modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2853modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4804modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4661modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3352modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4702modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4449modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4658modern-sleigh-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4794modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4705modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4803modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2581modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4610modern-loft-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4719modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4781modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3942modern-loft-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4611modern-adjustable-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2859modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4584modern-canopy-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4653modern-toddler-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2781modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2545modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4668modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4494modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4605modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4771modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3138modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4657modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3256modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4665modern-daybeds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4614modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4621modern-canopy-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4782modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4582modern-toddler-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4564modern-daybeds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4474modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3034modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4600modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4475modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4810modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4604modern-loft-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4656modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4492modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2613modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4520modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4528modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3228modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3090modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4455modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4487modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3031modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4788modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4636modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4739modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2718modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4534modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4485modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4502modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3584modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2997modern-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4538modern-canopy-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4515modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4588modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2768modern-murphy-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2546modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4511modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3075modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4608modern-adjustable-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4796modern-daybeds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4629modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4706modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4507modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4560modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4532modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4763modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4663modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4649modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4654modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4625modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4641modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2593modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4624modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4628modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4590modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4453modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2952modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4598modern-loft-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3072modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4521modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4592modern-loft-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3246modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4463modern-canopy-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\2740modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4469modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\3046modern-kids-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4681modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4774modern-bunk-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4673modern-platform-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4457modern-panel-beds.jpg,beds,Modern
data/Furniture_Data\beds\Modern\4729modern-kids-beds.jpg,beds,Modern
augmentation_Task3_2\beds\Rustic\8783rustic-bunk-beds_aug_177.png,beds,Rustic
data/Furniture_Data\beds\Rustic\5947rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8946rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8313rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8940rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\4948rustic-platform-beds.jpg,beds,Rustic
augmentation_Task3_2\beds\Rustic\8782rustic-bunk-beds_aug_178.png,beds,Rustic
data/Furniture_Data\beds\Rustic\8778rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8803rustic-kids-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8926rustic-platform-beds.jpg,beds,Rustic
augmentation_Task3_2\beds\Rustic\8874rustic-bunk-beds_aug_192.png,beds,Rustic
augmentation_Task3_2\beds\Rustic\8863rustic-panel-beds_aug_186.png,beds,Rustic
data/Furniture_Data\beds\Rustic\8798rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8945rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8811rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\2687rustic-panel-beds.jpg,beds,Rustic
augmentation_Task3_2\beds\Rustic\8793rustic-bunk-beds_aug_169.png,beds,Rustic
augmentation_Task3_2\beds\Rustic\8773rustic-panel-beds_aug_176.png,beds,Rustic
augmentation_Task3_2\beds\Rustic\8818rustic-panel-beds_aug_175.png,beds,Rustic
data/Furniture_Data\beds\Rustic\8835rustic-bunk-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\4426rustic-platform-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8763rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8760rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8910rustic-kids-beds.jpg,beds,Rustic
augmentation_Task3_2\beds\Rustic\2547rustic-kids-beds_aug_185.png,beds,Rustic
data/Furniture_Data\beds\Rustic\8936rustic-panel-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\8896rustic-canopy-beds.jpg,beds,Rustic
augmentation_Task3_2\beds\Rustic\8313rustic-panel-beds_aug_189.png,beds,Rustic
data/Furniture_Data\beds\Rustic\8787rustic-bunk-beds.jpg,beds,Rustic
data/Furniture_Data\beds\Rustic\7752rustic-panel-beds.jpg,beds,Rustic
